case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
NET-021,PC21 has correct IP/gateway but cannot resolve internal hostnames,Internal DNS server configured on Router1,"ip dhcp pool VLAN10
 dns-server 192.168.50.5
! 192.168.50.5 is not the actual DNS server IP (should be 192.168.10.5)",Wrong DNS server IP configured in DHCP pool,Layer 7,dns,Medium
NET-022,Inter-VLAN routing works for VLAN 10-20 but not VLAN 10-30,Router-on-a-stick with three sub-interfaces,"interface Gi0/0.30
 encapsulation dot1Q 30
 ip address 192.168.30.1 255.255.255.0
! missing 'no shutdown' history on physical Gi0/0","Physical parent interface Gi0/0 administratively down, disabling all sub-interfaces",Layer 1,inter-vlan-routing,High
NET-023,Site-to-site VPN tunnel not establishing between two routers,IPSec VPN configured with pre-shared keys,"Router1: crypto isakmp key CISCO123 address 203.0.113.2
Router2: crypto isakmp key CISCO321 address 203.0.113.1",Pre-shared key mismatch between VPN peers,Layer 3,vpn,High
NET-024,"EtherChannel between two switches not bundling, ports show independent",Port-channel configured with mismatched modes,"Switch1: channel-group 1 mode active
Switch2: channel-group 1 mode on",EtherChannel negotiation mode mismatch (LACP active vs static on),Layer 2,etherchannel,Medium
NET-025,Host in VLAN 10 can ping 192.168.10.1 but not 192.168.10.254 (both claim to be gateway),HSRP configured between two routers for redundancy,"Router1: standby 1 ip 192.168.10.1
Router2: standby 1 ip 192.168.10.254",HSRP virtual IP mismatch between the two routers in the same group,Layer 3,hsrp,High
NET-026,PC26 shows 'destination host unreachable' when pinging server on same subnet,"PC26 and server on VLAN 10, connected via same switch","PC26: 192.168.10.20 255.255.255.0
Switch: interface Fa0/6 is down, line protocol is down",Physical switch interface for PC26 is down (cable/port issue),Layer 1,interface-down,High
NET-027,ACL blocks legitimate HTTP traffic to web server after recent change,Extended ACL applied inbound on Gi0/0,"access-list 105 deny tcp any any eq 80
access-list 105 permit ip any any",Deny rule for port 80 placed before the general permit — order of ACL entries matters,Layer 4,acl,High
NET-028,Router does not forward traffic between two directly connected subnets,"Router has two interfaces, ip routing appears disabled","show run | include ip routing
! no ip routing (line absent)",Global 'ip routing' command not enabled on the router,Layer 3,routing-disabled,Critical
NET-029,"PC29 cannot reach any device, even same-subnet gateway",Recently reconfigured with a new subnet mask,"PC29: IP 192.168.10.50, mask 255.255.255.192, gateway 192.168.10.1","Subnet mask too restrictive, gateway falls outside PC29's calculated subnet range",Layer 3,subnetting,High
NET-030,"Voice VLAN phones register but have poor call quality, no QoS applied",Voice VLAN configured on access ports but no QoS policy,"interface Fa0/10
 switchport voice vlan 50
! no service-policy configured",No QoS/traffic prioritization policy applied for voice VLAN traffic,Layer 2,qos-voice,Medium
NET-031,Newly added host in VLAN 20 gets IP but cannot reach VLAN 20 server 2 hops away,Multi-router topology with EIGRP,"Router2: show ip eigrp neighbors
! neighbor table empty, no adjacency formed",EIGRP autonomous system number mismatch preventing neighbor adjacency,Layer 3,eigrp,High
NET-032,Backup default route not taking over when primary ISP link fails,"Two static default routes configured, one should be floating backup","ip route 0.0.0.0 0.0.0.0 10.0.0.1
ip route 0.0.0.0 0.0.0.0 10.0.1.1","Backup route missing administrative distance value, so it competes with primary instead of floating",Layer 3,floating-static-route,High
